date,geography,geography code,Provision of unpaid care: Total: All usual residents aged 5 and over,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Provides 19 hours or less unpaid care a week,Provision of unpaid care: Provides 9 hours or less unpaid care a week,Provision of unpaid care: Provides 10 to 19 hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 20 to 34 hours unpaid care a week,Provision of unpaid care: Provides 35 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid care a week
2021,North Somerset,E06000024,206068,187306,10166,7693,2473,3245,1602,1643,5351
2021,South Gloucestershire,E06000025,274305,250653,13007,9668,3339,4204,2088,2116,6441
2021,Plymouth,E06000026,251489,227533,10646,7641,3005,5267,2403,2864,8043
2021,Torbay,E06000027,133265,118359,6514,4498,2016,3207,1553,1654,5185
2021,Swindon,E06000030,219784,201466,9060,6595,2465,3806,1759,2047,5452
2021,Peterborough,E06000031,201509,185265,7313,5216,2097,3853,1712,2141,5078
2021,Luton,E06000032,209302,193203,7112,4738,2374,4114,1925,2189,4873
2021,Southend-on-Sea,E06000033,170444,155425,7405,5320,2085,3046,1390,1656,4568
2021,Thurrock,E06000034,163739,151068,5732,4067,1665,2856,1269,1587,4083
2021,Medway,E06000035,262465,239847,10306,7265,3041,4932,2184,2748,7380
2021,Bracknell Forest,E06000036,117488,108718,4802,3628,1174,1555,710,845,2413
2021,West Berkshire,E06000037,153138,141112,6883,5324,1559,1932,924,1008,3211
2021,Reading,E06000038,163989,153003,5444,4003,1441,2493,1070,1423,3049
2021,Slough,E06000039,146729,136585,4506,3042,1464,2644,1237,1407,2994
2021,Windsor and Maidenhead,E06000040,145476,134701,6175,4725,1450,1875,945,930,2725
2021,Wokingham,E06000041,167650,155455,7195,5600,1595,1976,990,986,3024
2021,Milton Keynes,E06000042,269327,248723,10185,7471,2714,4418,2075,2343,6001
2021,Brighton and Hove,E06000043,265352,244548,11334,8679,2655,4040,1981,2059,5430
2021,Portsmouth,E06000044,196722,181418,7363,5280,2083,3257,1488,1769,4684
2021,Southampton,E06000045,235126,216988,8399,6118,2281,4006,1766,2240,5733
2021,Isle of Wight,E06000046,134907,120702,6653,4819,1834,2666,1286,1380,4886
2021,County Durham,E06000047,497316,444638,22444,15557,6887,11908,5056,6852,18326
2021,Cheshire East,E06000049,378839,344383,18703,14028,4675,6138,3001,3137,9615
2021,Cheshire West and Chester,E06000050,339532,306894,16421,11955,4466,6312,2999,3313,9905
2021,Shropshire,E06000051,309186,279482,15681,11637,4044,5492,2721,2771,8531
2021,Cornwall,E06000052,544772,490220,26422,19107,7315,10677,5283,5394,17453
2021,Isles of Scilly,E06000053,1957,1758,118,87,31,27,19,8,54
2021,Wiltshire,E06000054,484704,442444,22932,17386,5546,7522,3675,3847,11806
2021,Bedford,E06000055,174062,159730,7421,5415,2006,3029,1397,1632,3882
2021,Central Bedfordshire,E06000056,276447,252896,12887,9600,3287,4172,2035,2137,6492
2021,Northumberland,E06000057,306332,275216,14730,10578,4152,6429,2995,3434,9957
2021,"Bournemouth, Christchurch and Poole",E06000058,381318,347966,17394,12863,4531,6334,3010,3324,9624
2021,Dorset,E06000059,364555,329043,18838,14036,4802,6102,3021,3081,10572
2021,Buckinghamshire,E06000060,522190,480417,23825,18279,5546,7277,3561,3716,10671
2021,North Northamptonshire,E06000061,339319,310403,14066,10196,3870,5881,2755,3126,8969
2021,West Northamptonshire,E06000062,401760,369994,16486,12261,4225,6223,2851,3372,9057
2021,Bolton,E08000001,277505,251525,11477,7910,3567,5902,2682,3220,8601
2021,Bury,E08000002,182692,165816,8141,5775,2366,3640,1744,1896,5095
2021,Manchester,E08000003,517560,479346,15630,10472,5158,10400,4481,5919,12184
2021,Oldham,E08000004,226083,205397,8737,5932,2805,5078,2323,2755,6871
