"date","geography","geography code","Living arrangements: Total; measures: Value","Living arrangements: Living in a couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Cohabiting; measures: Value","Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value","Living arrangements: Not living in a couple; measures: Value","Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value","Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value","Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value","Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value","Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value"
"2021","King's Lynn and West Norfolk","E07000146",127156,81220,61136,60731,405,103,19981,19290,691,45936,25059,1115,2103,8587,9072
"2021","North Norfolk","E07000147",87198,55662,43400,42964,436,49,12213,11726,487,31536,15631,767,1496,6424,7218
"2021","Norwich","E07000148",114361,55660,34735,34215,520,89,20836,19640,1196,58701,40695,1144,2408,9339,5115
"2021","South Norfolk","E07000149",115765,77247,59344,58852,492,103,17800,17192,608,38518,21269,791,1825,7555,7078
"2021","Babergh","E07000200",76420,50093,39128,38866,262,78,10887,10478,409,26327,14552,538,1272,5022,4943
"2021","Ipswich","E07000202",110214,62963,44282,43944,338,110,18571,17762,809,47251,29902,1206,2246,8282,5615
"2021","Mid Suffolk","E07000203",85117,57156,44399,44113,286,77,12680,12234,446,27961,15692,597,1362,5133,5177
"2021","St Albans","E07000240",114937,74154,60342,60051,291,130,13682,13170,512,40783,25691,1087,1749,6388,5868
"2021","Welwyn Hatfield","E07000241",92434,52708,40605,40383,222,115,11988,11560,428,39726,26205,1463,1612,5717,4729
"2021","East Hertfordshire","E07000242",119652,76490,58916,58604,312,120,17454,16802,652,43162,26882,962,1826,7239,6253
"2021","Stevenage","E07000243",70581,40932,30157,29979,178,93,10682,10311,371,29649,18823,776,1452,4969,3629
"2021","East Suffolk","E07000244",203277,127644,98837,98145,692,157,28650,27574,1076,75633,40934,1628,3611,14819,14641
"2021","West Suffolk","E07000245",143770,89828,68316,67850,466,142,21370,20542,828,53942,30896,1540,2782,10458,8266
"2021","City of London","E09000001",7821,3632,2157,1983,174,5,1470,1256,214,4189,3155,223,139,435,237
"2021","Barking and Dagenham","E09000002",160872,78586,61983,61733,250,309,16294,15572,722,82286,55421,5733,3867,10636,6629
"2021","Barnet","E09000003",306038,164065,135464,134688,776,504,28097,26403,1694,141973,94801,8622,5791,18900,13859
"2021","Bexley","E09000004",194624,110350,86124,85744,380,304,23922,22958,964,84274,54417,3052,3803,11994,11008
"2021","Brent","E09000005",271156,125727,102673,102031,642,391,22663,21111,1552,145429,98569,14288,5773,15354,11445
"2021","Bromley","E09000006",263449,156572,122404,121294,1110,366,33802,32014,1788,106877,69364,3162,4478,15856,14017
"2021","Camden","E09000007",170534,74109,50719,49303,1416,208,23182,21034,2148,96425,72187,4005,3394,11082,5757
"2021","Croydon","E09000008",307115,156201,119911,118812,1099,507,35783,33706,2077,150914,103113,7216,6973,20135,13477
"2021","Ealing","E09000009",291194,146852,118051,117083,968,471,28330,26296,2034,144342,97381,12072,5406,17177,12306
"2021","Enfield","E09000010",255308,125097,102017,101542,475,563,22517,21332,1185,130211,86668,6825,6443,18053,12222
"2021","Greenwich","E09000011",225343,112319,79442,78228,1214,347,32530,30034,2496,113024,77771,6188,5670,14951,8444
"2021","Hackney","E09000012",207142,83922,51132,49743,1389,330,32460,29430,3030,123220,95506,4513,5171,12346,5684
"2021","Hammersmith and Fulham","E09000013",152070,64832,43571,42621,950,175,21086,19560,1526,87238,66742,3411,2927,9606,4552
"2021","Haringey","E09000014",213843,95216,65405,64292,1113,399,29412,26925,2487,118627,85106,6161,5092,14907,7361
"2021","Harrow","E09000015",207750,116963,103576,103328,248,310,13077,12424,653,90787,58717,8061,3211,9917,10881
"2021","Havering","E09000016",208234,119518,93976,93658,318,266,25276,24302,974,88716,57548,3370,3279,12164,12355
"2021","Hillingdon","E09000017",236400,131137,108852,108441,411,351,21934,20852,1082,105263,68684,7293,4105,13641,11540
"2021","Hounslow","E09000018",226957,118913,96948,96190,758,346,21619,20112,1507,108044,70020,9817,4667,13744,9796
"2021","Islington","E09000019",178373,75209,43586,41882,1704,198,31425,28673,2752,103164,80906,2963,3519,10665,5111
"2021","Kensington and Chelsea","E09000020",120808,51673,39064,38266,798,148,12461,11408,1053,69135,48993,4137,2394,9148,4463
"2021","Kingston upon Thames","E09000021",132112,77312,60705,60173,532,176,16431,15577,854,54800,37299,2368,2030,7537,5566
"2021","Lambeth","E09000022",264584,105176,61192,58661,2531,319,43665,39090,4575,159408,125052,6157,5842,15502,6855
"2021","Lewisham","E09000023",239751,110925,72101,70632,1469,423,38401,35207,3194,128826,94704,5245,5499,15629,7749
"2021","Merton","E09000024",171704,94350,72014,71243,771,278,22058,20785,1273,77354,53537,4427,2861,9757,6772
"2021","Newham","E09000025",273556,125896,96465,95658,807,464,28967,26409,2558,147660,104488,13673,5830,14632,9037
