date,geography,geography code,Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census,"Occupation (current): 1. Managers, directors and senior officials",Occupation (current): 2. Professional occupations,Occupation (current): 3. Associate professional and technical occupations,Occupation (current): 4. Administrative and secretarial occupations,Occupation (current): 5. Skilled trades occupations,"Occupation (current): 6. Caring, leisure and other service occupations",Occupation (current): 7. Sales and customer service occupations,"Occupation (current): 8. Process, plant and machine operatives",Occupation (current): 9. Elementary occupations
2021,Gateshead,E08000037,87518,8448,16612,11006,8949,8581,8793,8710,6950,9469
2021,City of London,E09000001,5346,1104,2349,1027,267,97,152,122,50,178
2021,Barking and Dagenham,E09000002,94589,7786,15185,9279,8798,10957,10934,7686,8964,15000
2021,Barnet,E09000003,186175,31481,50534,25626,16520,14478,14342,10663,8394,14137
2021,Bexley,E09000004,117983,14498,23417,16138,15535,12291,10333,8186,7430,10155
2021,Brent,E09000005,160997,18700,31402,19463,13311,15838,13901,13423,12932,22027
2021,Bromley,E09000006,162122,27845,43321,25707,17733,12787,11212,8498,5867,9152
2021,Camden,E09000007,102513,18247,35269,19193,6330,3781,6279,5152,2963,5299
2021,Croydon,E09000008,189407,24114,43348,26739,19333,15968,18250,13735,10765,17155
2021,Ealing,E09000009,175025,24147,39697,23951,14223,15555,12912,12773,11767,20000
2021,Enfield,E09000010,143864,18297,29475,17729,13804,14397,13986,10695,9440,16041
2021,Greenwich,E09000011,142934,18826,35907,21127,11610,10735,13290,9173,7183,15083
2021,Hackney,E09000012,134312,18646,40040,27603,9468,6468,9742,7191,4530,10624
2021,Hammersmith and Fulham,E09000013,98096,18326,29279,18574,6900,4493,6803,5004,2711,6006
2021,Haringey,E09000014,134383,17168,33738,21842,9189,11265,10419,8084,6027,16651
2021,Harrow,E09000015,125040,17524,31409,14526,12204,12184,8624,9061,7806,11702
2021,Havering,E09000016,124781,15438,24339,16717,16701,14375,10294,8162,8058,10697
