date,geography,geography code,Disability: Total: All usual residents,Disability: Disabled under the Equality Act,Disability: Disabled under the Equality Act: Day-to-day activities limited a lot,Disability: Disabled under the Equality Act: Day-to-day activities limited a little,Disability: Not disabled under the Equality Act,Disability: Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,Disability: Not disabled under the Equality Act: No long term physical or mental health conditions
2021,Sunderland,E08000024,274170,64396,31415,32981,209774,18477,191297
2021,Birmingham,E08000025,1144919,198064,92328,105736,946855,58707,888148
2021,Coventry,E08000026,345323,57225,25400,31825,288098,19768,268330
2021,Dudley,E08000027,323488,62567,27309,35258,260921,22439,238482
2021,Sandwell,E08000028,341832,61047,29636,31411,280785,16796,263989
2021,Solihull,E08000029,216240,37234,15699,21535,179006,14903,164103
2021,Walsall,E08000030,284124,54153,25161,28992,229971,15535,214436
2021,Wolverhampton,E08000031,263727,47979,22149,25830,215748,13905,201843
2021,Bradford,E08000032,546411,93697,43720,49977,452714,29837,422877
2021,Calderdale,E08000033,206629,37860,16421,21439,168769,14917,153852
2021,Kirklees,E08000034,433216,75591,33163,42428,357625,28277,329348
2021,Leeds,E08000035,811953,135681,55973,79708,676272,56458,619814
2021,Wakefield,E08000036,353370,71206,32529,38677,282164,24272,257892
2021,Gateshead,E08000037,196151,42548,19786,22762,153603,14061,139542
2021,City of London,E09000001,8583,919,280,639,7664,651,7013
2021,Barking and Dagenham,E09000002,218868,28993,13726,15267,189875,7872,182003
2021,Barnet,E09000003,389344,49679,22003,27676,339665,19887,319778
2021,Bexley,E09000004,246472,36083,15402,20681,210389,14542,195847
2021,Brent,E09000005,339814,41163,19060,22103,298651,13014,285637
2021,Bromley,E09000006,329991,45894,18279,27615,284097,22293,261804
2021,Camden,E09000007,210136,31882,14052,17830,178254,12051,166203
2021,Croydon,E09000008,390719,54852,23716,31136,335867,21978,313889
2021,Ealing,E09000009,367115,44811,19868,24943,322304,16932,305372
2021,Enfield,E09000010,329984,44876,21145,23731,285108,14442,270666
2021,Greenwich,E09000011,289069,41576,18542,23034,247493,15358,232135
2021,Hackney,E09000012,259146,37020,16622,20398,222126,13250,208876
2021,Hammersmith and Fulham,E09000013,183158,22972,10107,12865,160186,9663,150523
2021,Haringey,E09000014,264238,36114,16196,19918,228124,13824,214300
2021,Harrow,E09000015,261203,31258,13808,17450,229945,11509,218436
2021,Havering,E09000016,262052,38449,16609,21840,223603,14935,208668
2021,Hillingdon,E09000017,305909,39466,17084,22382,266443,14838,251605
2021,Hounslow,E09000018,288181,35294,15452,19842,252887,12745,240142
2021,Islington,E09000019,216589,35063,15772,19291,181526,13133,168393
2021,Kensington and Chelsea,E09000020,143376,18311,8394,9917,125065,6602,118463
2021,Kingston upon Thames,E09000021,168063,21990,8430,13560,146073,11086,134987
2021,Lambeth,E09000022,317654,42017,17092,24925,275637,19675,255962
