from_id,to_id,travel_time
E00056227,non_FS_10,24.0
E00055573,non_FS_11,26.0
E00055573,non_FS_12,20.0
E00055565,non_FS_11,22.0
E00055565,non_FS_12,16.0
E00055576,non_FS_11,18.0
E00055576,non_FS_12,12.0
E00055577,non_FS_11,13.0
E00055577,non_FS_12,8.0
E00055570,non_FS_11,17.0
E00055570,non_FS_12,11.0
E00055569,non_FS_12,28.0
E00055571,non_FS_11,27.0
E00055571,non_FS_12,21.0
E00055564,non_FS_11,17.0
E00055564,non_FS_12,14.0
E00055621,non_FS_11,23.0
E00055621,non_FS_12,18.0
E00055618,non_FS_11,20.0
E00055618,non_FS_12,17.0
E00055620,non_FS_11,23.0
E00055620,non_FS_12,20.0
E00055617,non_FS_11,28.0
E00055617,non_FS_12,23.0
E00055616,non_FS_11,26.0
E00055616,non_FS_12,21.0
E00055615,non_FS_12,28.0
E00055686,non_FS_12,30.0
E00058210,non_FS_15,25.0
E00165680,non_FS_15,18.0
E00165680,non_FS_16,25.0
E00058205,non_FS_15,18.0
E00058205,non_FS_16,26.0
E00058208,non_FS_15,16.0
E00058208,non_FS_16,24.0
E00058207,non_FS_15,15.0
E00058207,non_FS_16,23.0
E00058202,non_FS_15,20.0
E00058202,non_FS_16,25.0
E00058204,non_FS_15,12.0
E00058204,non_FS_16,19.0
E00058206,non_FS_15,15.0
E00058206,non_FS_16,23.0
E00058184,non_FS_15,19.0
E00058184,non_FS_16,27.0
E00056645,non_FS_13,26.0
E00055520,non_FS_11,14.0
E00055520,non_FS_12,20.0
E00055619,non_FS_11,14.0
E00055619,non_FS_12,18.0
E00055687,non_FS_11,23.0
E00055687,non_FS_12,25.0
E00058209,non_FS_15,27.0
E00187090,non_FS_15,27.0
E00187100,non_FS_15,22.0
E00187100,non_FS_16,27.0
E00058084,non_FS_15,18.0
E00058084,non_FS_16,23.0
E00058093,non_FS_15,19.0
E00058093,non_FS_16,24.0
E00058090,non_FS_15,29.0
E00058200,non_FS_15,10.0
E00058200,non_FS_16,19.0
E00058183,non_FS_15,19.0
E00058183,non_FS_16,23.0
E00165679,non_FS_15,12.0
E00165679,non_FS_16,18.0
E00058201,non_FS_15,8.0
E00058201,non_FS_16,15.0
E00058182,non_FS_15,12.0
E00058182,non_FS_16,19.0
E00058181,non_FS_15,8.0
E00058181,non_FS_16,16.0
E00058199,non_FS_15,16.0
E00058199,non_FS_16,21.0
E00058180,non_FS_15,17.0
E00058180,non_FS_16,22.0
E00058197,non_FS_15,10.0
E00058197,non_FS_16,17.0
E00058092,non_FS_15,17.0
E00058092,non_FS_16,21.0
E00056659,non_FS_13,10.0
E00055775,non_FS_13,11.0
E00055767,non_FS_13,9.0
E00055732,non_FS_13,20.0
E00055766,non_FS_13,19.0
E00055768,non_FS_13,22.0
E00055769,non_FS_13,9.0
E00055729,non_FS_13,5.0
E00055762,non_FS_13,12.0
E00168670,non_FS_14,28.0
E00168669,non_FS_14,25.0
E00055761,non_FS_13,9.0
E00055760,non_FS_13,17.0
E00055731,non_FS_13,19.0
E00055759,non_FS_13,5.0
E00055758,non_FS_13,11.0
E00055765,non_FS_13,13.0
E00055756,non_FS_13,11.0
E00055755,non_FS_13,13.0
E00055753,non_FS_13,12.0
E00055739,non_FS_13,16.0
E00055764,non_FS_13,8.0
E00056685,non_FS_13,29.0
E00055757,non_FS_13,9.0
E00056678,non_FS_13,30.0
E00055750,non_FS_14,27.0
E00055746,non_FS_14,25.0
E00055744,non_FS_14,19.0
E00055745,non_FS_14,24.0
E00054777,non_FS_14,3.0
E00168666,non_FS_14,25.0
E00054978,non_FS_14,23.0
E00168685,non_FS_14,18.0
E00054778,non_FS_14,20.0
E00054779,non_FS_14,3.0
E00054773,non_FS_14,3.0
E00054984,non_FS_14,23.0
E00054768,non_FS_14,16.0
E00055738,non_FS_13,20.0
E00055737,non_FS_13,25.0
E00055752,non_FS_13,20.0
E00055748,non_FS_13,17.0
E00055751,non_FS_13,19.0
E00178694,non_FS_13,27.0
E00178673,non_FS_13,25.0
E00178697,non_FS_13,26.0
E00054776,non_FS_14,12.0
E00054775,non_FS_14,5.0
E00054774,non_FS_14,11.0
E00054771,non_FS_14,16.0
E00054772,non_FS_14,5.0
E00054769,non_FS_14,13.0
E00054770,non_FS_14,7.0
E00054766,non_FS_14,13.0
E00054767,non_FS_14,17.0
E00054764,non_FS_14,15.0
E00055741,non_FS_13,25.0
E00054765,non_FS_14,15.0
E00054809,non_FS_14,20.0
E00054763,non_FS_14,22.0
E00054808,non_FS_14,23.0
E00054807,non_FS_14,21.0
E00054807,non_FS_18,26.0
