from_id,to_id,travel_time
E00055523,3906,16.0
E00055523,9495,10.0
E00055523,10136,16.0
E00055523,10730,19.0
E00055523,11011,17.0
E00055521,934,15.0
E00055521,3906,20.0
E00055521,9495,14.0
E00055521,10136,20.0
E00055521,10730,29.0
E00055521,11011,16.0
E00055575,934,11.0
E00055575,3906,16.0
E00055575,9495,14.0
E00055575,10136,16.0
E00055575,10730,12.0
E00055575,11011,21.0
E00055574,934,11.0
E00055574,3906,17.0
E00055574,9495,9.0
E00055574,10136,17.0
E00055574,10730,15.0
E00055574,11011,21.0
E00056691,5357,25.0
E00056696,5357,27.0
E00056686,5648,29.0
E00056686,9447,29.0
E00056689,5648,25.0
E00056689,9447,25.0
E00056688,5648,25.0
E00056688,9447,25.0
E00175517,5357,13.0
E00055777,5357,12.0
E00175516,5357,11.0
E00055771,5357,6.0
E00055730,5357,0.0
E00178722,10528,15.0
E00056227,5648,28.0
E00056227,9447,28.0
E00056227,10528,27.0
E00055573,934,30.0
E00055573,10528,20.0
E00055573,10730,18.0
E00055565,934,26.0
E00055565,3906,28.0
E00055565,10136,28.0
E00055565,10528,15.0
E00055565,10730,14.0
E00055576,934,22.0
E00055576,3906,24.0
E00055576,9495,27.0
E00055576,10136,24.0
E00055576,10528,17.0
E00055576,10730,10.0
E00055577,934,17.0
E00055577,3906,19.0
E00055577,9495,21.0
E00055577,10136,19.0
E00055577,10528,24.0
E00055577,10730,2.0
E00055577,11011,28.0
E00055570,934,21.0
E00055570,3906,23.0
E00055570,9495,24.0
E00055570,10136,23.0
E00055570,10528,20.0
E00055570,10730,10.0
E00055569,10528,26.0
E00055569,10730,26.0
E00055571,10528,23.0
E00055571,10730,19.0
E00056226,10528,26.0
E00055564,934,21.0
E00055564,3906,26.0
E00055564,9495,24.0
E00055564,10136,26.0
E00055564,10528,22.0
E00055564,10730,10.0
E00055621,934,27.0
E00055621,3906,29.0
E00055621,10136,29.0
E00055621,10528,26.0
E00055621,10730,16.0
E00055618,934,24.0
E00055618,3906,29.0
E00055618,9495,27.0
E00055618,10136,29.0
E00055618,10528,27.0
E00055618,10730,12.0
E00055620,934,27.0
E00055620,9495,29.0
E00055620,10528,29.0
E00055620,10730,15.0
E00055617,9644,30.0
E00055617,10730,21.0
E00055616,9644,27.0
E00055616,10528,29.0
E00055616,10730,19.0
E00055568,9644,23.0
E00055615,9644,24.0
E00055615,10730,26.0
E00055686,8556,29.0
E00055686,9532,29.0
E00055686,9644,20.0
E00055686,10730,26.0
E00055679,9644,17.0
E00165680,3363,24.0
E00058205,3363,24.0
E00058208,3363,22.0
E00058207,3363,21.0
E00058202,3363,26.0
E00058204,3363,18.0
E00058206,3363,21.0
E00058184,3363,23.0
E00056682,5648,2.0
E00056682,9447,2.0
E00056675,5648,9.0
E00056675,9447,9.0
E00056675,9644,23.0
E00175515,5648,12.0
E00175515,9447,12.0
E00056677,5648,0.0
E00056677,9447,0.0
E00175539,5648,10.0
E00175539,9447,10.0
E00056645,5357,24.0
E00175537,5648,10.0
E00175537,9447,10.0
E00056679,5357,30.0
E00056679,5648,20.0
E00056679,9447,20.0
E00175538,5648,12.0
E00175538,9447,12.0
E00175536,5648,13.0
E00175536,9447,13.0
E00055685,8556,25.0
E00055685,9532,25.0
E00055685,9644,26.0
E00055675,8556,27.0
E00055675,9532,27.0
E00055675,9644,18.0
E00055683,8556,28.0
E00055683,9482,29.0
E00055683,9532,28.0
E00055683,9644,14.0
E00055683,10446,28.0
E00055681,8556,29.0
E00055681,9482,30.0
E00055681,9532,29.0
E00055681,9644,15.0
E00055681,10446,29.0
E00055727,8556,22.0
E00055727,9482,29.0
E00055727,9532,22.0
E00055727,9644,18.0
E00055727,10446,28.0
E00055682,8556,23.0
E00055682,9482,30.0
E00055682,9532,23.0
E00055682,9644,16.0
E00055682,10446,29.0
E00055678,5648,28.0
E00055678,9447,28.0
E00055678,9482,27.0
E00055678,9644,10.0
E00055678,10446,23.0
E00055680,8556,16.0
E00055680,9482,28.0
E00055680,9532,16.0
E00055680,9644,21.0
E00055723,8556,25.0
E00055723,9482,25.0
E00055723,9532,25.0
E00055723,9644,8.0
E00055723,10446,22.0
E00055520,934,16.0
E00055520,3906,22.0
E00055520,9495,10.0
E00055520,10136,22.0
E00055520,10730,25.0
E00055520,11011,22.0
E00055619,934,18.0
E00055619,3906,24.0
E00055619,9495,17.0
E00055619,10136,24.0
E00055619,10730,17.0
E00055619,11011,29.0
E00055687,934,27.0
E00055687,8556,24.0
E00055687,9495,19.0
E00055687,9532,24.0
E00055687,10730,21.0
E00058209,3363,28.0
E00187090,3363,28.0
E00187100,3363,23.0
E00058084,3363,19.0
E00058093,3363,20.0
E00058090,3363,29.0
E00055725,5648,23.0
E00055725,9447,23.0
E00055725,9482,23.0
E00055725,9644,6.0
E00055725,10446,20.0
E00055726,8556,21.0
E00055726,9532,21.0
E00055726,9644,24.0
E00055721,8556,12.0
E00055721,9532,12.0
E00055717,5648,25.0
E00055717,9447,25.0
E00055717,9482,27.0
E00055717,9644,11.0
E00055717,10446,24.0
E00056674,5648,28.0
E00056674,9447,28.0
E00056674,9644,16.0
E00056674,10446,29.0
E00055728,8556,30.0
E00055728,9482,24.0
E00055728,9532,30.0
E00055728,9644,7.0
E00055728,10446,21.0
E00055724,8556,12.0
E00055724,9482,29.0
E00055724,9532,12.0
E00055724,9644,28.0
E00055719,8556,22.0
E00055719,9482,22.0
E00055719,9532,22.0
E00055719,9644,12.0
E00055719,10446,22.0
E00055673,8556,8.0
E00055673,9532,8.0
E00055674,8556,15.0
E00055674,9482,22.0
E00055674,9532,15.0
E00055674,9644,22.0
E00055674,10446,26.0
E00055722,8556,9.0
E00055722,9482,24.0
E00055722,9532,9.0
E00055722,9644,25.0
E00055722,10446,28.0
E00055714,9482,26.0
E00055714,9644,8.0
E00055714,10446,23.0
E00055720,8556,19.0
E00055720,9482,19.0
E00055720,9532,19.0
E00055720,9644,19.0
E00055720,10446,22.0
E00055718,8556,7.0
E00055718,9482,30.0
E00055718,9532,7.0
E00055711,8556,15.0
E00055711,9482,26.0
E00055711,9532,15.0
E00055711,9644,24.0
E00055711,10446,30.0
E00055716,9482,15.0
E00055716,9644,1.0
E00055716,10446,12.0
E00055710,9482,13.0
E00055710,9644,4.0
E00055710,10446,13.0
E00055712,8556,4.0
E00055712,9482,30.0
E00055712,9532,4.0
E00055709,8556,22.0
E00055709,9482,13.0
E00055709,9532,22.0
E00055709,9644,18.0
E00055709,10446,16.0
E00055715,9482,10.0
E00055715,9644,10.0
E00055715,10446,11.0
E00058200,3363,16.0
E00058183,3363,25.0
E00165679,3363,18.0
E00058201,3363,14.0
E00058182,3363,15.0
E00058181,3363,14.0
E00058199,3363,17.0
E00058180,3363,18.0
E00058197,3363,13.0
E00058092,3363,17.0
E00056659,5357,12.0
E00055775,5357,16.0
E00055767,5357,13.0
E00055732,5357,24.0
E00055766,5357,23.0
E00055768,5357,26.0
E00055769,5357,13.0
E00055729,5357,10.0
E00055762,5357,17.0
E00055761,5357,13.0
E00055760,5357,21.0
E00055731,5357,23.0
E00055759,5357,10.0
E00055758,5357,15.0
E00055765,5357,18.0
E00055756,5357,13.0
E00055755,5357,16.0
E00055753,5357,14.0
E00055739,5357,19.0
E00055764,5357,2.0
E00056685,5357,23.0
E00056685,5648,17.0
E00056685,9447,17.0
E00056647,5648,14.0
E00056647,9447,14.0
E00056684,5648,12.0
E00056684,9447,12.0
E00056687,5648,6.0
E00056687,9447,6.0
E00055757,5357,8.0
E00056683,5357,28.0
E00056683,5648,14.0
E00056683,9447,14.0
E00056646,5648,12.0
E00056646,9447,12.0
E00056681,5357,27.0
E00056681,5648,12.0
E00056681,9447,12.0
E00056678,5357,24.0
E00056678,5648,14.0
E00056678,9447,14.0
E00055738,5357,24.0
E00055737,5357,29.0
E00055752,5357,23.0
E00055748,5357,17.0
E00055751,5357,20.0
E00178694,5357,29.0
E00178673,5357,28.0
E00178697,5357,26.0
E00055741,5357,25.0
E00056673,5648,10.0
E00056673,9447,10.0
E00056654,5648,20.0
E00056654,9447,20.0
E00056672,5648,23.0
E00056672,9447,23.0
E00056672,9644,23.0
