date,geography,geography code,National identity: Total: All usual residents,National identity: British only identity,National identity: English only identity,National identity: English and British only identity,National identity: Welsh only identity,National identity: Welsh and British only identity,National identity: Any other combination of only UK identities,National identity: Scottish only identity,National identity: Scottish and British only identity,National identity: Northern Irish only identity,National identity: Northern Irish and British only identity,National identity: Cornish only identity,National identity: Cornish and British only identity,National identity: Any other combination of only UK identities ,National identity: Irish only identity,National identity: Irish and at least one UK identity,National identity: Other identity only,National identity: Other identity and at least one UK identity,National identity: Non-UK identity only,National identity: UK identity and non-UK identity
2021,Vale of White Horse,E07000180,138910,77561,21394,21440,881,504,2200,831,509,175,114,52,3,516,651,221,10480,3578,11131,3799
2021,West Oxfordshire,E07000181,114236,65312,19521,17936,745,384,1659,645,391,177,80,25,7,334,469,155,5897,2158,6366,2313
2021,Mendip,E07000187,116086,66128,20316,19702,745,303,1260,480,231,145,53,54,9,288,390,169,5277,1796,5667,1965
2021,Sedgemoor,E07000188,125342,66936,24104,23390,908,370,1087,414,200,90,53,49,11,270,302,80,7032,1133,7334,1213
2021,South Somerset,E07000189,172671,93326,33324,31845,1013,429,1856,724,390,182,114,71,17,358,375,90,8594,1819,8969,1909
2021,Cannock Chase,E07000192,100522,54900,22728,19267,316,123,730,365,149,65,23,5,0,123,156,31,1844,427,2000,458
2021,East Staffordshire,E07000193,124023,66581,23118,19718,356,172,923,431,169,110,53,4,0,156,302,57,11233,1563,11535,1620
2021,Lichfield,E07000194,106436,59815,22886,18526,394,215,930,383,200,110,47,8,3,179,320,75,2469,806,2789,881
2021,Newcastle-under-Lyme,E07000195,123299,69113,24994,21720,488,212,899,355,171,113,50,8,7,195,214,77,4294,1288,4508,1365
2021,South Staffordshire,E07000196,110473,59630,27772,19667,433,146,625,261,114,93,34,7,0,116,270,52,1364,514,1634,566
2021,Stafford,E07000197,136868,77132,26030,23867,709,312,1503,648,319,187,86,10,2,251,408,89,5369,1449,5777,1538
2021,Staffordshire Moorlands,E07000198,95842,54162,20914,17817,296,114,612,239,127,82,37,12,0,115,127,26,1287,487,1414,513
2021,Tamworth,E07000199,78651,41613,17300,14635,215,84,547,253,98,59,28,3,0,106,233,32,3477,515,3710,547
2021,Babergh,E07000200,92341,50353,20201,16881,243,123,868,357,211,88,52,6,5,149,222,87,2485,878,2707,965
2021,Ipswich,E07000202,139643,70570,23550,24162,229,84,980,380,202,115,56,13,1,213,385,102,17128,2453,17513,2555
