"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
"2021","City of London","E09000001",4914,0,2506,1767,371,190,52,11,7,10
"2021","Barking and Dagenham","E09000002",73902,0,17503,16630,13943,13273,7147,3134,1296,976
"2021","Barnet","E09000003",148917,0,41658,42347,26841,22637,9113,3563,1542,1216
"2021","Bexley","E09000004",95299,0,24753,28297,17616,16104,5852,1814,576,287
"2021","Brent","E09000005",118615,0,31985,30225,20783,17500,8810,4512,2151,2649
"2021","Bromley","E09000006",135827,0,38668,43242,24235,21393,6040,1591,439,219
"2021","Camden","E09000007",92757,0,35929,28682,12979,9162,3747,1384,516,358
"2021","Croydon","E09000008",152946,0,43091,45181,27823,22312,9257,3362,1174,746
"2021","Ealing","E09000009",133658,0,35662,35953,23795,21198,9717,3984,1722,1627
"2021","Enfield","E09000010",120925,0,31159,32259,23242,19932,8456,3194,1283,1400
"2021","Greenwich","E09000011",114053,0,34048,34464,19487,15326,6348,2456,986,938
"2021","Hackney","E09000012",106081,0,34928,32643,17123,11627,5216,2220,1043,1281
"2021","Hammersmith and Fulham","E09000013",81244,0,29324,25940,12395,8457,3447,1074,375,232
"2021","Haringey","E09000014",105092,0,32293,31075,18054,13972,5509,2059,1040,1090
"2021","Harrow","E09000015",89642,0,19852,23520,17121,16517,6788,3097,1250,1497
"2021","Havering","E09000016",101278,0,26129,30782,18689,16434,6195,1986,686,377
"2021","Hillingdon","E09000017",109229,0,26635,29597,20484,18849,8247,3229,1223,965
"2021","Hounslow","E09000018",102963,0,26209,26606,19160,17182,7626,3294,1486,1400
"2021","Islington","E09000019",96496,0,34795,32524,14660,9171,3245,1146,478,477
"2021","Kensington and Chelsea","E09000020",66884,0,29232,19338,8247,5577,2619,1017,525,329
"2021","Kingston upon Thames","E09000021",65626,0,17716,19953,11957,11015,3482,1062,283,158
"2021","Lambeth","E09000022",134686,0,43154,44849,22469,14991,5477,2164,824,758
"2021","Lewisham","E09000023",122395,0,37147,38233,21153,15941,5867,2371,874,809
"2021","Merton","E09000024",81729,0,20464,24679,15139,13427,5062,1809,639,510
"2021","Newham","E09000025",115508,0,27038,29262,19830,17444,10555,5546,2700,3133
"2021","Redbridge","E09000026",103713,0,23886,24386,18837,19096,9526,4295,1955,1732
"2021","Richmond upon Thames","E09000027",80705,0,23871,25216,13861,12962,3615,841,228,111
"2021","Southwark","E09000028",130818,0,43348,42744,21078,14423,5619,2133,739,734
"2021","Sutton","E09000029",82351,0,22197,24218,15236,14150,4648,1359,354,189
