"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
"2021","Buckinghamshire","E06000060",220328,0,57889,74977,36693,34470,11108,3331,1107,753
"2021","East Sussex","E10000011",240118,0,76642,88850,34506,27253,9047,2655,787,378
"2021","Hampshire","E10000014",587695,0,161702,218926,93717,80397,23871,6506,1712,864
"2021","Kent","E10000016",648393,0,183814,225024,106015,90015,30313,9055,2718,1439
"2021","Oxfordshire","E10000025",288109,0,78183,102960,47456,40432,12997,3829,1351,901
"2021","Surrey","E10000030",481818,0,130426,161335,81437,77705,22609,5796,1641,869
"2021","West Sussex","E10000032",375216,0,111259,135565,57949,49267,15195,4248,1125,608
"2021","Bath and North East Somerset","E06000022",79250,0,23077,28379,12065,11067,3378,931,246,107
"2021","Bristol, City of","E06000023",191639,0,57862,64236,30135,25245,8788,3225,1181,967
"2021","Cornwall","E06000052",250538,0,76862,96146,36219,28035,9232,2753,848,443
"2021","Isles of Scilly","E06000053",943,0,307,402,94,95,26,11,3,5
"2021","North Somerset","E06000024",94649,0,29090,34811,13872,12183,3475,877,222,119
"2021","Plymouth","E06000026",114557,0,37338,40178,17651,13129,4290,1347,379,245
"2021","Bournemouth, Christchurch and Poole","E06000058",173841,0,56531,61650,25969,20627,6340,1877,568,279
"2021","South Gloucestershire","E06000025",118101,0,30747,42563,19821,17980,5059,1360,382,189
"2021","Swindon","E06000030",95863,0,27219,31933,16144,13822,4530,1375,483,357
"2021","Torbay","E06000027",62994,0,21883,22917,8508,6310,2235,714,245,182
"2021","Wiltshire","E06000054",215083,0,60574,81164,33692,28205,8490,2186,535,237
"2021","Devon","E10000008",352621,0,107230,137589,49088,40025,12975,3912,1119,683
"2021","Dorset","E06000059",169257,0,51741,68961,22917,18049,5470,1488,408,223
"2021","Gloucestershire","E10000013",279427,0,84836,103560,41741,34727,10496,2871,769,427
"2021","Somerset","E10000027",250120,0,76028,96047,36599,28566,9185,2580,728,387
"2021","Isle of Anglesey","W06000001",30822,0,10189,11246,4435,3284,1195,325,89,59
"2021","Gwynedd","W06000002",51105,0,17664,17612,7155,5531,2157,678,191,117
"2021","Conwy","W06000003",52235,0,17909,19249,7443,5156,1723,507,153,95
"2021","Denbighshire","W06000004",42387,0,14107,15214,6170,4510,1612,528,171,75
"2021","Flintshire","W06000005",66911,0,19471,24340,11233,8479,2498,661,161,68
"2021","Wrexham","W06000006",57914,0,17662,20423,9795,7055,2162,592,156,69
"2021","Powys","W06000023",60182,0,19841,22962,8037,6194,2269,597,192,90
"2021","Ceredigion","W06000008",30892,0,10202,11845,4045,3103,1124,380,114,79
"2021","Pembrokeshire","W06000009",55487,0,18507,20546,7797,5691,2084,585,189,88
"2021","Carmarthenshire","W06000010",81759,0,25349,29813,12553,9392,3222,980,291,159
"2021","Swansea","W06000011",104962,0,36154,35218,15877,12001,3996,1171,367,178
"2021","Neath Port Talbot","W06000012",62376,0,20368,21531,10255,7283,2151,578,154,56
"2021","Bridgend","W06000013",62360,0,18664,22412,10481,7461,2420,651,163,108
"2021","Vale of Glamorgan","W06000014",57446,0,17841,20368,9111,7186,2275,496,124,45
"2021","Cardiff","W06000015",147333,0,47463,47353,23187,18472,6717,2479,976,686
"2021","Rhondda Cynon Taff","W06000016",103340,0,32170,35250,17769,12881,4015,922,230,103
"2021","Merthyr Tydfil","W06000024",25783,0,8258,8616,4503,3109,964,240,66,27
"2021","Caerphilly","W06000018",76257,0,22965,26687,13138,9500,2922,752,203,90
"2021","Blaenau Gwent","W06000019",30340,0,10175,10462,5174,3182,1020,231,71,25
"2021","Torfaen","W06000020",40241,0,12316,14189,6866,4784,1478,428,121,59
"2021","Monmouthshire","W06000021",40925,0,12287,15862,6144,4765,1387,347,89,44
"2021","Newport","W06000022",66053,0,19997,21708,11114,8436,2914,1031,437,416
