date,geography,geography code,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,Hours worked: Part-time,Hours worked: Part-time: 15 hours or less worked,Hours worked: Part-time: 16 to 30 hours worked,Hours worked: Full-time,Hours worked: Full-time: 31 to 48 hours worked,Hours worked: Full-time: 49 or more hours worked
2021,Ryedale,E07000167,25961,8486,3093,5393,17475,13478,3997
2021,Scarborough,E07000168,46549,16821,5623,11198,29728,24536,5192
2021,Selby,E07000169,46124,12744,4192,8552,33380,27566,5814
2021,Ashfield,E07000170,58430,16237,4786,11451,42193,36725,5468
2021,Bassetlaw,E07000171,54917,16458,5143,11315,38459,32043,6416
2021,Broxtowe,E07000172,51914,15302,4985,10317,36612,31844,4768
2021,Gedling,E07000173,56189,16848,5149,11699,39341,33903,5438
2021,Mansfield,E07000174,51367,14773,4360,10413,36594,31414,5180
2021,Newark and Sherwood,E07000175,57114,16616,5734,10882,40498,33327,7171
2021,Rushcliffe,E07000176,56976,16524,5799,10725,40452,33528,6924
2021,Cherwell,E07000177,84972,22632,7825,14807,62340,52841,9499
2021,Oxford,E07000178,73326,21574,8857,12717,51752,43899,7853
2021,South Oxfordshire,E07000179,76476,21515,8124,13391,54961,45106,9855
2021,Vale of White Horse,E07000180,70864,18811,6631,12180,52053,43896,8157
2021,West Oxfordshire,E07000181,58926,16835,6256,10579,42091,34764,7327
2021,Mendip,E07000187,55668,19505,7295,12210,36163,28981,7182
2021,Sedgemoor,E07000188,59147,18290,6263,12027,40857,33555,7302
2021,South Somerset,E07000189,80929,25469,8630,16839,55460,45912,9548
2021,Cannock Chase,E07000192,48877,13606,4216,9390,35271,29813,5458
2021,East Staffordshire,E07000193,59318,16442,5484,10958,42876,36028,6848
2021,Lichfield,E07000194,50472,14677,5262,9415,35795,29257,6538
2021,Newcastle-under-Lyme,E07000195,56682,16488,5257,11231,40194,34557,5637
2021,South Staffordshire,E07000196,50699,15103,5183,9920,35596,29642,5954
2021,Stafford,E07000197,65766,18305,6261,12044,47461,39195,8266
2021,Staffordshire Moorlands,E07000198,45035,13555,4598,8957,31480,25615,5865
2021,Tamworth,E07000199,38158,10307,3248,7059,27851,24114,3737
2021,Babergh,E07000200,42957,14333,5421,8912,28624,23369,5255
2021,Ipswich,E07000202,67026,20768,6730,14038,46258,39598,6660
2021,Mid Suffolk,E07000203,50023,15709,5744,9965,34314,27543,6771
2021,Elmbridge,E07000207,66982,18965,7819,11146,48017,36120,11897
2021,Epsom and Ewell,E07000208,39909,11220,4291,6929,28689,23623,5066
2021,Guildford,E07000209,69774,20161,8478,11683,49613,39744,9869
2021,Mole Valley,E07000210,42341,13129,5437,7692,29212,23132,6080
2021,Reigate and Banstead,E07000211,75127,21058,8043,13015,54069,44451,9618
2021,Runnymede,E07000212,42457,12322,5215,7107,30135,24677,5458
2021,Spelthorne,E07000213,51539,13714,4992,8722,37825,32083,5742
2021,Surrey Heath,E07000214,45363,12384,4659,7725,32979,27139,5840
2021,Tandridge,E07000215,42575,12489,4896,7593,30086,23964,6122
2021,Waverley,E07000216,60722,18892,7740,11152,41830,32672,9158
2021,Woking,E07000217,52742,14323,5531,8792,38419,31711,6708
2021,North Warwickshire,E07000218,31754,8826,2913,5913,22928,19336,3592
2021,Nuneaton and Bedworth,E07000219,63114,17061,5095,11966,46053,40460,5593
2021,Rugby,E07000220,58106,14541,4994,9547,43565,36959,6606
2021,Stratford-on-Avon,E07000221,66236,20269,7823,12446,45967,36968,8999
2021,Warwick,E07000222,72748,20385,7788,12597,52363,44328,8035
2021,Adur,E07000223,29825,10201,3437,6764,19624,16875,2749
2021,Arun,E07000224,73191,24774,9099,15675,48417,40561,7856
2021,Chichester,E07000225,56365,19538,7926,11612,36827,29448,7379
2021,Crawley,E07000226,58899,17454,6322,11132,41445,36266,5179
2021,Horsham,E07000227,72167,22825,9144,13681,49342,40356,8986
2021,Mid Sussex,E07000228,76572,23498,8973,14525,53074,43860,9214
2021,Worthing,E07000229,53557,17467,6050,11417,36090,31338,4752
2021,Bromsgrove,E07000234,47287,14014,4780,9234,33273,27520,5753
2021,Malvern Hills,E07000235,35800,12154,4397,7757,23646,19218,4428
2021,Redditch,E07000236,42692,11562,3675,7887,31130,27280,3850
2021,Worcester,E07000237,51628,15456,5101,10355,36172,31303,4869
2021,Wychavon,E07000238,63660,19047,6891,12156,44613,36385,8228
2021,Wyre Forest,E07000239,45789,14298,4465,9833,31491,26608,4883
2021,St Albans,E07000240,72871,20589,8037,12552,52282,40974,11308
2021,Welwyn Hatfield,E07000241,58149,17302,6773,10529,40847,34414,6433
2021,East Hertfordshire,E07000242,76524,21978,8653,13325,54546,44328,10218
2021,Stevenage,E07000243,45457,12287,4066,8221,33170,29016,4154
2021,East Suffolk,E07000244,106365,36844,13502,23342,69521,56377,13144
2021,West Suffolk,E07000245,89619,24609,8639,15970,65010,53528,11482
2021,Somerset West and Taunton,E07000246,73294,23624,8010,15614,49670,40916,8754
2021,Bolton,E08000001,125438,39475,11725,27750,85963,75764,10199
2021,Bury,E08000002,88483,26131,8126,18005,62352,54514,7838
