date,geography,geography code,Religion (detailed): Total: All Usual Residents,Religion (detailed): Christian,Religion (detailed): Buddhist,Religion (detailed): Hindu,Religion (detailed): Jewish,Religion (detailed): Muslim ,Religion (detailed): Sikh,Religion (detailed): No religion,Religion (detailed): No religion: Agnostic,Religion (detailed): No religion: Atheist,Religion (detailed): No religion: Free Thinker,Religion (detailed): No religion: Humanist,Religion (detailed): No religion: No religion,Religion (detailed): No religion: Realist,Religion (detailed): Other religion,Religion (detailed): Other religion: Alevi,Religion (detailed): Other religion: Animism,Religion (detailed): Other religion: Baha'i,Religion (detailed): Other religion: Believe in God,Religion (detailed): Other religion: Brahma Kumari,Religion (detailed): Other religion: Chinese Religion,Religion (detailed): Other religion: Church of All Religion,Religion (detailed): Other religion: Confucianist,Religion (detailed): Other religion: Deist,Religion (detailed): Other religion: Druid,Religion (detailed): Other religion: Druze,Religion (detailed): Other religion: Eckankar,Religion (detailed): Other religion: Heathen,Religion (detailed): Other religion: Jain,Religion (detailed): Other religion: Mixed Religion,Religion (detailed): Other religion: Mysticism,Religion (detailed): Other religion: Native American Church,Religion (detailed): Other religion: New Age,Religion (detailed): Other religion: Occult,Religion (detailed): Other religion: Other religions,Religion (detailed): Other religion: Own Belief System,Religion (detailed): Other religion: Pagan,Religion (detailed): Other religion: Pantheism,Religion (detailed): Other religion: Rastafarian,Religion (detailed): Other religion: Ravidassia,Religion (detailed): Other religion: Reconstructionist,Religion (detailed): Other religion: Satanism,Religion (detailed): Other religion: Scientology,Religion (detailed): Other religion: Shamanism,Religion (detailed): Other religion: Shintoism,Religion (detailed): Other religion: Spiritual,Religion (detailed): Other religion: Spiritualist,Religion (detailed): Other religion: Taoist,Religion (detailed): Other religion: Theism,Religion (detailed): Other religion: Thelemite,Religion (detailed): Other religion: Traditional African Religion,Religion (detailed): Other religion: Unification Church,Religion (detailed): Other religion: Universalist,Religion (detailed): Other religion: Valmiki,Religion (detailed): Other religion: Vodun,Religion (detailed): Other religion: Wicca,Religion (detailed): Other religion: Witchcraft,Religion (detailed): Other religion: Yazidi ,Religion (detailed): Other religion: Zoroastrian,Religion (detailed): Religion not stated
2021,Isle of Wight,E06000046,140459,67005,499,257,136,593,39,61722,82,29,2,37,61572,0,1109,2,4,9,3,0,0,0,0,2,19,0,0,21,5,22,1,0,1,1,155,12,385,14,11,0,3,18,3,1,2,107,219,14,3,1,0,0,1,0,0,61,4,0,5,9099
2021,County Durham,E06000047,522067,285167,1290,990,286,2922,839,201689,216,95,2,67,201308,1,2197,1,2,23,9,0,1,0,0,9,24,0,3,57,12,34,1,1,3,3,338,11,732,20,19,6,3,54,1,2,11,140,485,25,5,5,1,0,3,0,3,121,10,0,19,26687
2021,Cheshire East,E06000049,398768,216629,1314,2046,640,4140,371,150258,160,80,1,75,149942,0,1555,5,2,21,10,0,2,0,2,6,15,0,2,27,47,44,1,0,1,6,306,5,410,9,12,0,1,18,7,5,3,220,219,17,7,2,0,0,0,0,1,94,5,11,12,21815
2021,Cheshire West and Chester,E06000050,357151,194705,1074,1551,288,3506,251,135025,150,70,0,67,134736,2,1239,18,3,20,13,0,0,0,0,3,9,0,0,11,12,31,1,0,0,4,235,7,348,15,17,1,4,42,9,6,4,163,145,11,3,1,1,0,3,0,0,82,9,0,8,19512
2021,Shropshire,E06000051,323601,179516,895,557,182,1708,760,119574,149,61,2,92,119270,0,1478,3,4,16,6,1,0,0,0,8,31,0,0,16,6,39,0,1,2,1,292,16,498,18,15,17,3,15,7,4,3,150,152,14,5,0,1,0,4,0,2,117,9,0,2,18931
2021,Cornwall,E06000052,570302,259145,2079,547,507,1333,130,264036,357,211,4,184,263278,2,4391,5,20,43,24,0,0,1,0,10,67,0,2,79,2,111,0,2,9,11,680,41,1769,44,42,1,9,60,7,13,14,489,456,59,5,18,0,0,18,0,3,240,27,0,10,38134
2021,Isles of Scilly,E06000053,2054,967,3,1,1,0,0,950,3,0,0,1,946,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,125
2021,Wiltshire,E06000054,510334,256160,2521,2670,458,3508,483,210601,325,131,2,133,210006,4,3224,21,11,28,15,0,2,1,0,13,64,0,1,73,15,81,1,0,6,1,500,15,1032,25,103,0,14,63,5,228,10,310,350,33,10,0,0,1,11,0,0,158,12,0,11,30709
2021,Bedford,E06000055,185224,88178,629,3045,232,13059,4114,63240,69,30,1,37,63103,0,2016,26,0,16,2,0,0,0,1,1,5,1,1,20,27,34,0,0,0,0,276,5,256,3,23,748,3,22,5,0,1,77,65,8,4,0,3,0,5,298,1,49,4,0,26,10711
2021,Central Bedfordshire,E06000056,294253,140903,996,3035,620,3965,1399,126001,133,56,2,58,125751,1,1363,33,1,14,10,0,0,0,0,2,12,1,0,19,48,56,0,0,4,4,326,11,354,16,19,9,5,19,1,5,2,113,168,10,3,0,5,0,0,9,0,69,2,1,12,15971
2021,Northumberland,E06000057,320570,170668,752,446,172,1635,654,128706,121,54,0,68,128463,0,1356,5,5,21,5,0,0,0,0,10,15,1,2,37,8,45,0,1,2,4,227,11,417,8,17,12,5,71,1,6,5,105,219,5,1,2,1,0,3,0,0,72,5,0,2,16181
2021,"Bournemouth, Christchurch and Poole",E06000058,400194,187448,2022,2841,1601,6645,267,168851,295,110,7,93,168346,0,2947,262,7,40,31,1,0,0,0,10,23,6,3,30,32,78,0,0,8,1,545,23,698,17,23,1,6,34,25,20,12,349,457,28,6,1,2,0,8,0,10,101,7,8,34,27572
2021,Dorset,E06000059,379583,195676,1613,714,453,1562,117,152268,202,92,4,114,151856,0,2364,20,6,17,10,0,0,0,0,10,34,0,5,95,5,78,1,1,4,1,374,25,820,34,15,0,2,19,11,63,7,302,258,26,8,2,0,0,11,0,1,83,11,0,5,24816
2021,Buckinghamshire,E06000060,553073,260961,2914,14896,1688,38740,8811,189206,257,131,4,98,188716,0,2582,3,4,74,19,0,1,0,0,16,19,3,4,29,231,184,1,0,7,4,590,13,501,10,32,22,6,23,11,38,12,295,217,42,10,0,5,0,8,1,0,102,2,0,43,33275
