Nature of Organisation,Beneficiary Group,Charity,Food Moved KG,Food Moved Meal Equivalents,CFMs Served,CFM Beneficiaries,Value of food,date - Year,long,lat,name,details.address.postcode,allocationpostcode,ONS Postcode Lookup.lat,ONS Postcode Lookup.long
Community centre,The local community,Oblong Ltd Community Care Hub,71.2,169.5272,1,115,137.90,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS6 2NY,53.814086,-1.555193
Food service only,The local community,Parochial Food Pantry (YSH),52.2,124.2882,1,115,372.71,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS10 3SR,53.749878,-1.542106
Food service only,The local community,Parochial Food Pantry (YSH),170.46,405.86526,1,115,"1,217.08",2023,-1.413575,53.533241,Vegetable,S73 8HA,LS10 3SR,53.749878,-1.542106
Food service only,The local community,Parochial Food Pantry (YSH),40.1,95.4781,1,115,240.62,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS10 3SR,53.749878,-1.542106
Food service only,The local community,Pudsey Community Project,32.4,77.1444,1,115,101.09,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS28 8LP,53.788993,-1.669784
Food service only,The local community,Pudsey Community Project,108.9,259.2909,1,115,450.22,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS28 8LP,53.788993,-1.669784
Food service only,The local community,Pudsey Community Project,47,111.907,1,115,295.38,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS28 8LP,53.788993,-1.669784
Food service only,The local community,Pudsey Community Project,20.4,48.5724,1,115,63.65,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS28 8LP,53.788993,-1.669784
Food service only,The local community,Pudsey Community Project,177.3,422.1513,1,115,728.52,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS28 8LP,53.788993,-1.669784
Food service only,The local community,Pudsey Community Project,106.98,254.71938,1,115,721.00,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS28 8LP,53.788993,-1.669784
Food service only,The local community,Pudsey Community Project,137.4,327.1494,1,115,606.37,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS28 8LP,53.788993,-1.669784
Food service only,The local community,Pudsey Community Project,34,80.954,1,115,242.76,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS28 8LP,53.788993,-1.669784
Community centre,The local community,Ravenscliffe Community Association - Gateway Café,131.5,313.1015,1,115,520.92,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD10 0JR,53.817119,-1.712623
Community centre,The local community,Ravenscliffe Community Association - Gateway Café,22.8,54.2868,1,115,71.14,2023,-1.413575,53.533241,Fruit,S73 8HA,BD10 0JR,53.817119,-1.712623
Community centre,The local community,Ravenscliffe Community Association - Gateway Café,77.5,184.5275,1,115,485.15,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD10 0JR,53.817119,-1.712623
Community centre,The local community,Ravenscliffe Community Association - Gateway Café,79.2,188.5752,1,115,546.19,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD10 0JR,53.817119,-1.712623
Community centre,The local community,Rycroft Community Centre,98.1,233.5761,1,115,306.07,2022,-1.413575,53.533241,Fruit,S73 8HA,WF4 2BD,53.623351,-1.41198
Community centre,The local community,Rycroft Community Centre,281.2,669.5372,1,115,877.34,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF4 2BD,53.623351,-1.41198
Community centre,The local community,Rycroft Community Centre,45.6,108.5736,1,115,142.27,2023,-1.413575,53.533241,Fruit,S73 8HA,WF4 2BD,53.623351,-1.41198
Community centre,The local community,Rycroft Community Centre,135.2,321.9112,1,115,807.74,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF4 2BD,53.623351,-1.41198
Community centre,The local community,Rycroft Community Centre,57.6,137.1456,1,115,323.63,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF4 2BD,53.623351,-1.41198
Food service only,The local community,Soup4Em,138.9,330.7209,1,115,955.97,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF9 3HR,53.590813,-1.331515
Food service only,The local community,Soup4Em,108,257.148,1,115,686.83,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF9 3HR,53.590813,-1.331515
Community centre,The local community,St Georges Lupset,153.4,365.2454,1,115,769.66,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF2 8AA,53.670308,-1.535369
Community centre,The local community,St Georges Lupset,70.6,168.0986,1,115,220.27,2023,-1.413575,53.533241,Fruit,S73 8HA,WF2 8AA,53.670308,-1.535369
Community centre,The local community,St Georges Lupset,235.2,560.0112,1,115,"1,456.62",2023,-1.413575,53.533241,Vegetable,S73 8HA,WF2 8AA,53.670308,-1.535369
Community centre,The local community,St Georges Lupset,5,11.905,1,115,15.60,2024,-1.413575,53.533241,Fruit,S73 8HA,WF2 8AA,53.670308,-1.535369
Community centre,The local community,St Georges Lupset,101.164,240.871484,1,115,673.27,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF2 8AA,53.670308,-1.535369
Advice / Resource centre,The local community,St Martins Community Kitchen,10,23.81,1,115,31.20,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 3LB,53.821815,-1.536047
Advice / Resource centre,The local community,St Martins Community Kitchen,23.4,55.7154,1,115,73.01,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 3LB,53.821815,-1.536047
Community centre,The local community,St Vincents Support Centre & Cafe,8,19.048,1,115,24.96,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 9LF,53.797287,-1.518362
Community centre,The local community,St Vincents Support Centre & Cafe,197.9,471.1999,1,115,620.72,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 9LF,53.797287,-1.518362
Community centre,The local community,St Vincents Support Centre & Cafe,26,61.906,1,115,145.44,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS9 9LF,53.797287,-1.518362
Community centre,The local community,St Vincents Support Centre & Cafe,61,145.241,1,115,190.32,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 9LF,53.797287,-1.518362
Community centre,The local community,St Vincents Support Centre & Cafe,329.6,784.7776,1,115,"1,657.30",2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 9LF,53.797287,-1.518362
Community centre,The local community,St Vincents Support Centre & Cafe,41.88,99.71628,1,115,299.02,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS9 9LF,53.797287,-1.518362
Community centre,The local community,St Vincents Support Centre & Cafe,125.2,298.1012,1,115,400.27,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 9LF,53.797287,-1.518362
Community centre,The local community,The Crescent CIC,34.5,82.1445,1,115,107.64,2022,-1.413575,53.533241,Fruit,S73 8HA,WF17 5SU,53.710605,-1.625734
Community centre,The local community,The Crescent CIC,119.4,284.2914,1,115,372.53,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF17 5SU,53.710605,-1.625734
Community centre,The local community,The Crescent CIC,22.8,54.2868,1,115,71.14,2023,-1.413575,53.533241,Fruit,S73 8HA,WF17 5SU,53.710605,-1.625734
Community centre,The local community,The Crescent CIC,30.8,73.3348,1,115,96.10,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF17 5SU,53.710605,-1.625734
Community centre,The local community,The Crescent CIC,47,111.907,1,115,146.64,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF17 5SU,53.710605,-1.625734
Faith organisation,The local community,"The Crossroads, Meltham FoodBank",11,26.191,1,115,34.32,2022,-1.551651,53.790612,Fruit,LS11 5JJ,HD9 4AG,53.592501,-1.846887
Faith organisation,The local community,"The Crossroads, Meltham FoodBank",110.1,262.1481,1,115,343.51,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,HD9 4AG,53.592501,-1.846887
Faith organisation,The local community,"The Crossroads, Meltham FoodBank",51.5,122.6215,1,115,327.51,2022,-1.413575,53.533241,Vegetable,S73 8HA,HD9 4AG,53.592501,-1.846887
Faith organisation,The local community,"The Crossroads, Meltham FoodBank",10.6,25.2386,1,115,33.07,2023,-1.551651,53.790612,Fruit,LS11 5JJ,HD9 4AG,53.592501,-1.846887
Faith organisation,The local community,"The Crossroads, Meltham FoodBank",183.5,436.9135,1,115,"1,031.69",2023,-1.551651,53.790612,Vegetable,LS11 5JJ,HD9 4AG,53.592501,-1.846887
Faith organisation,The local community,"The Crossroads, Meltham FoodBank",171.8,409.0558,1,115,"1,186.45",2023,-1.413575,53.533241,Vegetable,S73 8HA,HD9 4AG,53.592501,-1.846887
Faith organisation,The local community,"The Crossroads, Meltham FoodBank",116.7,277.8627,1,115,477.07,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,HD9 4AG,53.592501,-1.846887
Faith organisation,The local community,"The Crossroads, Meltham FoodBank",7.2,17.1432,1,115,142.80,2024,-1.413575,53.533241,Vegetable,S73 8HA,HD9 4AG,53.592501,-1.846887
Day centre / Drop in centre,The local community,The Life Centre,61.3,145.9553,1,115,257.59,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD4 6BU,53.764742,-1.730456
Day centre / Drop in centre,The local community,The Life Centre,11.4,27.1434,1,115,35.57,2023,-1.413575,53.533241,Fruit,S73 8HA,BD4 6BU,53.764742,-1.730456
Day centre / Drop in centre,The local community,The Life Centre,18.4,43.8104,1,115,130.79,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD4 6BU,53.764742,-1.730456
,The local community,The New Bierley Community Centre (Bradford Life Centre),163.5,389.2935,1,115,"1,188.81",2023,-1.413575,53.533241,Vegetable,S73 8HA,BD4 6BU,53.764742,-1.730456
,The local community,The New Bierley Community Centre (Bradford Life Centre),5,11.905,1,115,15.60,2024,-1.413575,53.533241,Fruit,S73 8HA,BD4 6BU,53.764742,-1.730456
,The local community,The New Bierley Community Centre (Bradford Life Centre),85.4,203.3374,1,115,571.16,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD4 6BU,53.764742,-1.730456
Community centre,The local community,The Scholemoor Beacon,22.4,53.3344,1,115,69.89,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD7 2RJ,53.784794,-1.7987
Community centre,The local community,The Scholemoor Beacon,108.5,258.3385,1,115,345.81,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD7 2RJ,53.784794,-1.7987
Community centre,The local community,The Scholemoor Beacon,45,107.145,1,115,140.40,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD7 2RJ,53.784794,-1.7987
Community centre,The local community,The Scholemoor Beacon,177.7,423.1037,1,115,852.42,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD7 2RJ,53.784794,-1.7987
Community centre,The local community,The Scholemoor Beacon,154,366.674,1,115,"1,099.56",2023,-1.413575,53.533241,Vegetable,S73 8HA,BD7 2RJ,53.784794,-1.7987
Community centre,The local community,The Scholemoor Beacon,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD7 2RJ,53.784794,-1.7987
Community centre,The local community,The Scholemoor Beacon,147.2,350.4832,1,115,676.34,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD7 2RJ,53.784794,-1.7987
Community centre,The local community,The Scholemoor Beacon,20,47.62,1,115,142.80,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD7 2RJ,53.784794,-1.7987
Community centre,The local community,The Well Project,30.8,73.3348,1,115,96.10,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF6 2DP,53.700455,-1.414344
Community centre,The local community,The Well Project,11.4,27.1434,1,115,35.57,2023,-1.413575,53.533241,Fruit,S73 8HA,WF6 2DP,53.700455,-1.414344
Community centre,The local community,The Well Project,113.1,269.2911,1,115,684.92,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF6 2DP,53.700455,-1.414344
Community centre,The local community,The Well Project,67,159.527,1,115,334.46,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF6 2DP,53.700455,-1.414344
Food service only,The local community,Welcome Centre,35.1,83.5731,1,115,109.51,2022,-1.413575,53.533241,Fruit,S73 8HA,HD1 3RR,53.63812,-1.784879
Food service only,The local community,Welcome Centre,366.8,873.3508,1,115,"1,144.42",2022,-1.413575,53.533241,Vegetable,S73 8HA,HD1 3RR,53.63812,-1.784879
Food service only,The local community,Welcome Centre,68.4,162.8604,1,115,213.41,2023,-1.413575,53.533241,Fruit,S73 8HA,HD1 3RR,53.63812,-1.784879
Food service only,The local community,Welcome Centre,33.6,80.0016,1,115,104.83,2023,-1.413575,53.533241,Vegetable,S73 8HA,HD1 3RR,53.63812,-1.784879
Food service only,The local community,Welcome Centre,51,121.431,1,115,159.12,2024,-1.413575,53.533241,Vegetable,S73 8HA,HD1 3RR,53.63812,-1.784879
Food service only,Young people (18 - 25),Sesku Academy (YSH),56,133.336,1,115,359.64,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF9 3QS,53.589842,-1.317133
Food service only,Young people (18 - 25),Sesku Academy (YSH),0,0,1,115,0.00,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF9 3QS,53.589842,-1.317133
School,Young people (18 - 25),Southway Education,16.1,38.3341,1,115,50.23,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 3JA,53.761882,-1.524819
School,Young people (18 - 25),Southway Education,20.8,49.5248,1,115,64.90,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 3JA,53.761882,-1.524819
School,Young people (18 - 25),Southway Education,132.5,315.4825,1,115,728.39,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 3JA,53.761882,-1.524819
School,Young people (18 - 25),Southway Education,11,26.191,1,115,34.32,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 3JA,53.761882,-1.524819
